movie,genres,directors,writers,production_budget,domestic_gross,worldwide_gross,tconst
Foodfight!,"Action,Animation,Comedy",nm0440415,"nm0440415,nm0923312,nm0295165,nm0841854,nm0220297",45000000,0,73706,tt0249516
Mortal Kombat,"Action,Adventure,Fantasy",nm2585406,nm3859643,20000000,70433227,122133227,tt0293429
The Overnight,Genre Data Missing,nm1208371,"nm1170333,nm1208371",200000,1109808,1165996,tt0326592
On the Road,"Adventure,Drama,Romance",nm0758574,"nm0449616,nm1433580",25000000,720828,9313302,tt0337692
The Secret Life of Walter Mitty,"Adventure,Comedy,Drama",nm0001774,"nm0175726,nm0862122",91000000,58236838,187861183,tt0359950
A Walk Among the Tombstones,"Action,Crime,Drama",nm0291082,"nm0088747,nm0291082",28000000,26017685,62108587,tt0365907
Jurassic World,"Action,Adventure,Sci-Fi",nm1119880,"nm0415425,nm0798646,nm1119880,nm2081046,nm0000341",215000000,652270625,1648854864,tt0369610
The Rum Diary,"Comedy,Drama",nm0732430,"nm0732430,nm0860219",45000000,13109815,21544732,tt0376136
The Three Stooges,"Comedy,Family","nm0268380,nm0268370","nm0148808,nm0268370,nm0268380",30000000,44338224,54052249,tt0383010
Anderson's Cross,"Comedy,Drama,Romance",nm1516329,nm1516329,300000,0,0,tt0393049
Tangled,"Adventure,Animation,Comedy","nm1977355,nm0397174","nm1557594,nm0342278,nm0342303",260000000,200821936,586477240,tt0398286
John Carter,"Action,Adventure,Sci-Fi",nm0004056,"nm0004056,nm0028764,nm0149290,nm0123194",275000000,73058679,282778100,tt0401729
Action Jackson,"Action,Thriller",nm0222150,"nm6859370,nm0222150,nm1209132",7000000,20257000,20257000,tt0403935
Dinner for Schmucks,Comedy,nm0005366,"nm1115862,nm1911349,nm0891554",69000000,73026337,86796502,tt0427152
The A-Team,"Action,Adventure,Thriller",nm0138620,"nm0138620,nm0089141,nm0940790,nm0526967,nm0004798",110000000,77222099,177241171,tt0429493
The Possession,"Horror,Mystery,Thriller",nm0097079,"nm0925482,nm1757236,nm1340000",14000000,49130588,82925064,tt0431021
Real Steel,"Action,Drama,Family",nm0506613,"nm0309691,nm0319659,nm0505230,nm0558577",110000000,85463309,263880341,tt0433035
The Giver,"Drama,Romance,Sci-Fi",nm0637518,"nm2276729,nm0004332,nm0523342",25000000,45090374,66540205,tt0435651
Toy Story 3,"Adventure,Animation,Comedy",nm0881279,"nm0005124,nm0004056,nm0881279,nm1578335",200000000,415004880,1068879522,tt0435761
The Devil Inside,"Horror,Thriller",nm1802289,"nm1685777,nm1802289",1000000,53262945,101759490,tt0436230
Alita: Battle Angel,"Action,Adventure,Sci-Fi",nm0001675,"nm0000116,nm0436164,nm1738737",170000000,85710210,402976036,tt0437086
Lincoln,"Biography,Drama,History",nm0000229,"nm1065785,nm0329447",65000000,182207973,273346281,tt0443272
Before We Go,"Comedy,Drama,Romance",nm0262635,"nm0060103,nm2267102,nm1281191,nm1343759",3000000,37151,483938,tt0443465
The History of Love,"Drama,Romance,War",nm0586123,"nm0586123,nm0738925,nm1842569",20000000,0,476624,tt0443533
Shazam!,"Action,Adventure,Comedy",nm2497546,"nm2849655,nm0501359,nm1791910,nm1304148",85000000,139606856,362899733,tt0448115
Puss in Boots,"Action,Adventure,Animation",nm3735491,"nm1117226,nm0528244,nm0204030,nm0011470,nm0674518,nm0825738",130000000,149260504,554987477,tt0448694
Wonder Woman,"Action,Adventure,Fantasy",nm0420941,"nm0374302,nm0811583,nm0297229,nm0551376,nm4243936",150000000,412563408,821133378,tt0451279
42,"Biography,Drama,Sport",nm0001338,nm0001338,31000000,95020213,97470701,tt0453562
Life of Pi,"Adventure,Drama,Fantasy",nm0000487,"nm1674631,nm1341735",120000000,124987022,620912003,tt0454876
The Crazies,"Horror,Thriller",nm0252135,"nm0466925,nm1242522,nm0001681",19000000,39123589,56445534,tt0455407
The Equalizer,"Action,Crime,Thriller",nm0298807,"nm0921013,nm0805994,nm2030456",55000000,101530738,192903624,tt0455944
Captain America: The First Avenger,"Action,Adventure,Sci-Fi",nm0002653,"nm1321655,nm1321656,nm0800209,nm0456158",140000000,176654505,370569776,tt0458339
Sin City: A Dame to Kill For,"Crime,Thriller","nm0588340,nm0001675",nm0588340,65000000,13757804,40650842,tt0458481
House at the End of the Drive,"Horror,Thriller",nm0175730,"nm0003905,nm1952191",1400000,0,0,tt0464054
Piranha 3D,"Comedy,Horror",nm0014960,"nm1539257,nm0831457",24000000,25003155,83660160,tt0464154
Margaret,Drama,nm0518836,nm0518836,14000000,47185,623292,tt0466893
Ex Machina,"Drama,Mystery,Sci-Fi",nm0307497,nm0307497,13000000,25440971,38358392,tt0470752
Tower Heist,"Action,Comedy,Crime",nm0711840,"nm0177836,nm0171651,nm0341372,nm0622288,nm9195200",85000000,78046570,150422946,tt0471042
The Smurfs,"Adventure,Animation,Comedy",nm0331532,"nm0826425,nm0918955,nm0771065,nm0740115,nm0678963",110000000,142614158,563749323,tt0472181
The Mechanic,"Action,Crime,Thriller",nm0922346,"nm0921013,nm0137573",42500000,29121498,76347393,tt0472399
"Hail, Caesar!","Comedy,Drama,Music","nm0001053,nm0001054","nm0001054,nm0001053",22000000,30080225,64160680,tt0475290
Unstoppable,"Action,Thriller",nm0001716,nm0093560,95000000,81562942,165720921,tt0477080
The Tree of Life,"Drama,Fantasy",nm0000517,nm0000517,35000000,13305665,61721826,tt0478304
Ant-Man,"Action,Adventure,Comedy",nm0715636,"nm0942367,nm0180428,nm0570912,nm0748620,nm0498278,nm1293367,nm0456158",130000000,180202163,518858449,tt0478970
Season of the Witch,"Action,Adventure,Fantasy",nm0784061,nm0776885,40000000,24827228,91126600,tt0479997
The Losers,"Action,Adventure,Crime",nm1234893,"nm0000916,nm0888743,nm2038618,nm3853840",25000000,23591432,29863840,tt0480255
Hall Pass,"Comedy,Romance","nm0268370,nm0268380","nm0971919,nm0268380,nm0055937,nm0268370",68000000,45060734,87173475,tt0480687
The Croods,"Action,Adventure,Animation","nm0761498,nm0210320","nm0761498,nm0210320,nm0000092",135000000,187168425,573068425,tt0481499
Barry Munday,"Comedy,Drama,Romance",nm0195476,"nm0195476,nm2060468",3000000,0,0,tt0482461
Red Tails,"Action,Adventure,Drama",nm0376006,"nm0725983,nm1412298,nm4858733",58000000,49876377,50365498,tt0485985
Silence,"Adventure,Drama,History",nm0000217,"nm0168379,nm0000217,nm0256870",46500000,7100177,23726626,tt0490215
Something Borrowed,"Comedy,Drama,Romance",nm0339004,"nm1646565,nm2808946",35000000,39046489,65084116,tt0491152
Tulip Fever,"Drama,History,Romance",nm0149491,"nm0595738,nm0001779",25000000,2455635,6792768,tt0491203
Furry Vengeance,"Comedy,Family",nm0474955,"nm1678479,nm1404095",35000000,17630465,39340177,tt0492389
Ramona and Beezus,"Adventure,Comedy,Family",nm0020491,"nm0185934,nm0701143,nm0165823",15000000,26167002,27469621,tt0493949
Rings,"Drama,Horror,Mystery",nm1279573,"nm0521649,nm1096524,nm0326040,nm0840626",25000000,27793018,82917283,tt0498381
A Thousand Words,"Comedy,Drama",nm0005367,nm0466175,40000000,18450127,20790486,tt0763831
What's Your Number?,"Comedy,Romance",nm0617042,"nm1271341,nm1000302,nm0188243",20000000,14011084,30163785,tt0770703
Samsara,"Documentary,Music",nm0294825,"nm0294825,nm0536056",4000000,2672413,5966671,tt0770802
Man of Steel,"Action,Adventure,Sci-Fi",nm0811583,"nm0333060,nm0634240,nm0796950,nm0795975",225000000,291045518,667999518,tt0770828
L'illusionniste,"Animation,Drama",nm0158984,"nm0158984,nm0004244",17000000,2231474,8609949,tt0775489
The Illusionist,"Animation,Drama",nm0158984,"nm0158984,nm0004244",16500000,39868642,83792062,tt0775489
Drive,"Crime,Drama",nm0716347,"nm0024925,nm2201245",15000000,35060689,81357930,tt0780504
The Wolfman,"Drama,Fantasy,Horror",nm0002653,"nm0001825,nm0783100,nm0802561",150000000,62189884,142634358,tt0780653
The Boxtrolls,"Adventure,Animation,Comedy","nm0030253,nm0820934","nm0109267,nm1106082,nm2223296,nm0820934,nm0197767,nm2280596",60000000,50837305,111946251,tt0787474
The Man Who Knew Infinity,"Biography,Drama",nm0114226,"nm0114226,nm2216692",10000000,3877922,12382122,tt0787524
The Incredible Burt Wonderstone,"Adventure,Comedy,Fantasy",nm0769135,"nm0326246,nm0197855,nm2226753,nm1624685",32000000,22537881,27392609,tt0790628
Dallas Buyers Club,"Biography,Drama",nm0885249,"nm1258965,nm2214893",5000000,27298285,60611845,tt0790636
Jack Reacher,"Action,Crime,Thriller",nm0003160,"nm1676193,nm0003160",60000000,80070736,217370736,tt0790724
R.I.P.D.,"Action,Adventure,Comedy",nm0777881,"nm0006534,nm0542062,nm0229694,nm0006997,nm9592688",130000000,33618855,79076678,tt0790736
Clash of the Titans,"Action,Adventure,Fantasy",nm0504642,"nm2012438,nm0006534,nm0542062,nm0189117",125000000,163214888,493214888,tt0800320
Clash of the Titans,"Action,Adventure,Fantasy",nm0504642,"nm2012438,nm0006534,nm0542062,nm0189117",15000000,30000000,44400000,tt0800320
Nemesis,Drama,nm2252657,nm2252657,2000000,2001124,2001124,tt0800353
Thor,"Action,Adventure,Fantasy",nm0000110,"nm1005420,nm0826714,nm0668309,nm0833089,nm0698873,nm0498278,nm1293367,nm0456158",150000000,181030624,449326618,tt0800369
Red Dog,"Biography,Comedy,Drama",nm0826541,"nm0850044,nm0207408",9100000,0,20927794,tt0803061
Warcraft,"Action,Adventure,Fantasy",nm1512910,"nm0495378,nm1512910",160000000,47225655,425522281,tt0803096
It's Kind of a Funny Story,"Comedy,Drama,Romance","nm0281396,nm1349818","nm1349818,nm0281396,nm2272408",8000000,6363628,6632950,tt0804497
The Mule,"Comedy,Drama","nm5402490,nm0705535","nm2266034,nm0705535",50000000,103804407,170857676,tt0804509
Tooth Fairy,"Comedy,Family,Fantasy",nm0501185,"nm0304665,nm0541632,nm0827985,nm0893262,nm0802020,nm0682063",48000000,60022256,112610386,tt0808510
Jack and Jill,Comedy,nm0240797,"nm0957840,nm0466175,nm0001191,nm0184445,nm0806912",79000000,74158157,150519217,tt0810913
Take Me Home Tonight,"Comedy,Drama,Romance",nm0236226,"nm0066851,nm0276882,nm0333410,nm2281415",19000000,6928068,7576604,tt0810922
Percy Jackson & the Olympians: The Lightning Thief,"Adventure,Family,Fantasy",nm0001060,"nm0864471,nm2292894",95000000,88768303,223050874,tt0814255
She's Out of My League,"Comedy,Romance",nm1637768,"nm1890845,nm1898234",20000000,32010860,48680977,tt0815236
The Book Thief,"Drama,War",nm1093053,"nm2295691,nm0678104",19000000,21488481,76086711,tt0816442
Conan the Barbarian,"Action,Adventure,Fantasy",nm1197971,"nm0232776,nm0649191,nm0393517,nm0397574",90000000,21295021,63356133,tt0816462
Conan the Barbarian,"Action,Adventure,Fantasy",nm1197971,"nm0232776,nm0649191,nm0393517,nm0397574",20000000,38264085,79114085,tt0816462
Interstellar,"Adventure,Drama,Sci-Fi",nm0634240,"nm0634300,nm0634240",165000000,188017894,666379375,tt0816692
World War Z,"Action,Adventure,Horror",nm0286975,"nm1996352,nm1206844,nm0511541,nm0833089,nm0112150",190000000,202359711,531514650,tt0816711
Flipped,"Comedy,Drama,Romance",nm0001661,"nm0001661,nm0770650,nm2300000",14000000,1755212,4289993,tt0817177
Valentine's Day,"Comedy,Romance",nm0005190,"nm0297545,nm0463359,nm0799050",52000000,110485654,217569328,tt0817230
Priest,"Action,Adventure,Fantasy",nm0829820,"nm2309430,nm2312828",60000000,29136626,84154026,tt0822847
Dracula Untold,"Action,Drama,Fantasy",nm2411495,"nm1948885,nm2332952,nm0831290",70000000,55991880,220241723,tt0829150
Godzilla,"Action,Adventure,Sci-Fi",nm2284484,"nm1440919,nm1709264,nm0393094,nm0613609,nm0443227,nm0001104,nm0333060",160000000,200676069,529076069,tt0831387
Godzilla,"Action,Adventure,Sci-Fi",nm2284484,"nm1440919,nm1709264,nm0393094,nm0613609,nm0443227,nm0001104,nm0333060",125000000,136314294,376000000,tt0831387
Hotel Transylvania,"Animation,Comedy,Family",nm0850733,"nm0063165,nm0806912,nm0244110,nm1087952,nm1156984",85000000,148313048,378505812,tt0837562
Pet Sematary,"Horror,Mystery,Thriller","nm1556116,nm1552637","nm0000175,nm0338557,nm1161528",21000000,54724696,109501146,tt0837563
Pet Sematary,"Horror,Mystery,Thriller","nm1556116,nm1552637","nm0000175,nm0338557,nm1161528",11500000,57469179,57469179,tt0837563
The Town,"Crime,Drama,Thriller",nm0000255,"nm0185976,nm0000255,nm0830760,nm2353561",37000000,92186262,152566881,tt0840361
The Kids Are All Right,"Comedy,Drama,Romance",nm0158966,"nm0158966,nm0089742",4000000,20811365,36275469,tt0842926
The Avengers,"Action,Adventure,Sci-Fi",nm0923736,"nm0923736,nm0672015",225000000,623279547,1517935897,tt0848228
The Avengers,"Action,Adventure,Sci-Fi",nm0923736,"nm0923736,nm0672015",60000000,23385416,48585416,tt0848228
Epic,"Adventure,Animation,Family",nm0917188,"nm0366337,nm0431622,nm0792092,nm0040022,nm0256079,nm0917188",100000000,107518682,262794441,tt0848537
Risen,"Biography,Drama",nm2040801,"nm1667095,nm2040801",20000000,36880033,46255763,tt0850709
The Sweeney,"Action,Crime,Drama",nm0522393,"nm0522393,nm0388076,nm0552409",4500000,26345,8000366,tt0857190
Mr. Peabody & Sherman,"Adventure,Animation,Comedy",nm0591450,"nm0911599,nm1362905,nm0304830,nm0502073,nm0450774,nm0567112",145000000,111506430,269806430,tt0864835
My Soul to Take,"Horror,Mystery,Thriller",nm0000127,nm0000127,25000000,14744435,16727470,tt0872230
Red State,"Action,Crime,Horror",nm0003620,nm0003620,4000000,1065429,1983596,tt0873886
Please Give,"Comedy,Drama",nm0392237,nm0392237,3000000,4033574,4570178,tt0878835
Eat Pray Love,"Drama,Romance",nm0614682,"nm0614682,nm0759022,nm2418691",60000000,80574010,206598789,tt0879870
Sanctum,"Adventure,Drama,Thriller",nm0340958,"nm2510763,nm1337757",30000000,23209310,108957098,tt0881320
Snitch,"Action,Drama,Thriller",nm0006846,"nm1244808,nm0006846",15000000,42930462,57907734,tt0882977
Snitch,"Action,Drama,Thriller",nm0006846,"nm1244808,nm0006846",850000,0,0,tt0882977
The Wedding Ringer,Comedy,nm1275670,"nm1275670,nm1191891",23000000,64460211,80171596,tt0884732
The Switch,"Comedy,Drama,Romance","nm0330347,nm0817447","nm0262325,nm1615610",19000000,27758465,49858465,tt0889573
Letters to Juliet,"Adventure,Comedy,Drama",nm0935095,"nm1433580,nm0003201",30000000,53032453,82148538,tt0892318
How to Train Your Dragon,"Action,Adventure,Animation","nm0761498,nm0213450","nm0204030,nm0213450,nm0761498,nm2441763,nm0405190,nm1104057",165000000,217581232,494870992,tt0892769
Shrek Forever After,"Adventure,Animation,Comedy",nm0593610,"nm0825308,nm0458441,nm0501359,nm0011470,nm0254645,nm0744429,nm0776107,nm0794252,nm0830294,nm2593444",165000000,238736787,756244673,tt0892791
The Hobbit: An Unexpected Journey,"Adventure,Family,Fantasy",nm0001392,"nm0909638,nm0101991,nm0001392,nm0868219,nm0866058",250000000,303003568,1017003568,tt0903624
The Thing,"Horror,Mystery,Sci-Fi",nm0374048,"nm2104063,nm0132168",38000000,16999934,27573078,tt0905372
The Legend of Tarzan,"Action,Adventure,Drama",nm0946734,"nm3092414,nm0108132,nm0123194",180000000,126643061,348902025,tt0918940
The Dead Undead,"Action,Horror,Sci-Fi","nm0027164,nm0174913",nm0174913,1100000,0,0,tt0923653
Rabbit Hole,Drama,nm0593463,nm1865755,5000000,2229058,6205034,tt0935075
The Last Airbender,"Action,Adventure,Family",nm0796117,nm0796117,150000000,131772187,319713881,tt0938283
Freaky Deaky,"Comedy,Crime,Thriller",nm0559879,"nm0001465,nm0559879",6000000,0,0,tt0938305
Salt,"Action,Mystery,Thriller",nm0637518,nm0934483,130000000,118311368,290650494,tt0944835
Source Code,"Action,Drama,Sci-Fi",nm1512910,nm1618286,32000000,54712227,140428499,tt0945513
Black Swan,"Drama,Thriller",nm0004716,"nm2114730,nm0374560,nm0572352",13000000,106954678,331266710,tt0947798
Green Zone,"Action,Drama,Thriller",nm0339030,"nm0001338,nm2418487",100000000,35497337,97523020,tt0947810
The Amazing Spider-Man,"Action,Adventure,Sci-Fi",nm1989536,"nm0888743,nm0765091,nm0460141,nm0498278,nm0228492",220000000,262030663,757890267,tt0948470
The Killer Inside Me,"Crime,Drama,Horror",nm0935863,"nm0192845,nm0860292",13000000,217277,3617277,tt0954947
Robin Hood,"Action,Adventure,Drama",nm0000631,"nm0001338,nm0717550,nm0903456",210000000,105487148,322459006,tt0955308
Robin Hood,"Action,Adventure,Drama",nm0000631,"nm0001338,nm0717550,nm0903456",99000000,30824628,84747441,tt0955308
Reach Me,"Comedy,Crime,Drama",nm0381273,nm0381273,5000000,0,0,tt0959306
Nine Dead,"Crime,Drama,Horror",nm1124577,nm2548697,2000000,0,0,tt0959329
The Sorcerer's Apprentice,"Action,Adventure,Family",nm0005509,"nm0465199,nm0742797,nm2188941,nm1215164,nm0076166",160000000,63150991,217986320,tt0963966
The Fighter,"Biography,Drama,Sport",nm0751102,"nm0798788,nm0848496,nm2053216,nm2565612",11000000,93617009,129262388,tt0964517
The Conspirator,"Crime,Drama,History",nm0000602,"nm0003833,nm0077052",25000000,11538204,15907411,tt0968264
Hugo,"Adventure,Drama,Family",nm0000217,"nm0517589,nm2561765",180000000,73864507,180047784,tt0970179
Little Fockers,"Comedy,Romance",nm0919369,"nm0357453,nm0836001,nm0322839,nm0164898",100000000,148438600,310650574,tt0970866
Justice League,"Action,Adventure,Fantasy",nm0811583,"nm0796950,nm0795975,nm0006516,nm0811583,nm0923736,nm1189346,nm0004170,nm0277730,nm0551376,nm0456158",300000000,229024295,655945209,tt0974015
Fair Game,"Biography,Drama,Thriller",nm0510731,"nm0125336,nm3890871,nm1468642,nm1976209",50000000,11497497,26097497,tt0977855
Sucker Punch,"Action,Adventure,Fantasy",nm0811583,"nm0811583,nm0793122",75000000,36392502,89758389,tt0978764
Lottery Ticket,Comedy,nm1336172,"nm2226110,nm1336172",17000000,24719879,24719879,tt0979434
The Chronicles of Narnia: The Voyage of the Dawn Treader,"Adventure,Family,Fantasy",nm0000776,"nm1321655,nm1321656,nm0678104,nm0507000",155000000,104386950,418186950,tt0980970
The Adventures of Tintin,"Action,Adventure,Animation",nm0000229,"nm0378960,nm0595590,nm0942367,nm0180428",130000000,77591831,373993951,tt0983193
Machete,"Action,Crime,Thriller","nm0001675,nm0542450","nm0001675,nm0736155",12500000,26593646,46370970,tt0985694
Dear John,"Drama,Romance,War",nm0002120,"nm1956691,nm0817023",25000000,80014842,142033509,tt0989757
Detention,"Horror,Thriller",nm0382783,"nm0382783,nm0426848,nm0615559,nm1437670",10000000,0,0,tt0990363
The Green Hornet,"Action,Comedy,Crime",nm0327273,"nm0736622,nm1698571,nm0872077",110000000,98780042,229155503,tt0990407
Hanna,"Action,Drama,Thriller",nm0942504,"nm2605946,nm1016333",30000000,40259119,65343694,tt0993842
The Wolf of Wall Street,"Biography,Crime,Drama",nm0000217,"nm1010540,nm0067789",100000000,116900694,389870414,tt0993846
Straw Dogs,"Action,Drama,Thriller",nm0527109,"nm0527109,nm0329051,nm0001603,nm0930684",25000000,10324441,11253821,tt0999913
"As Above, So Below",Documentary,nm1502645,Missing writer data,5000000,21222315,41824066,tt10012842
The Promise,Drama,nm8492670,"nm8492670,nm8492674",90000000,8224288,10551417,tt10013288
Cinderella,Musical,nm2502689,Missing writer data,95000000,201151353,534551353,tt10013634
Cinderella,Musical,nm2502689,Missing writer data,2900000,85000000,263591415,tt10013634
Megamind,"Action,Animation,Comedy",nm0569891,"nm0774786,nm2523794",130000000,148415853,321887208,tt1001526
Nemesis,"Action,Thriller",nm5577387,Missing writer data,2000000,2001124,2001124,tt10022974
The Young Messiah,"Drama,Fantasy",nm0637493,"nm0723351,nm0637492,nm0637493",16800000,6469813,7313697,tt1002563
Snatched,Drama,nm10566844,nm9144998,42000000,45852178,57852177,tt10065960
The Iron Lady,"Biography,Drama",nm1630273,nm0604448,14000000,29959436,115592104,tt1007029
The Game,Horror,nm7938044,"nm7938044,nm10561527",50000000,48265581,80369970,tt10073018
The Little Prince,Action,nm8658796,Missing writer data,77500000,1311213,102028919,tt10075374
Inferno,Documentary,nm10577291,Missing writer data,75000000,34343574,219519367,tt10090222
Get Real,Drama,nm10579538,"nm10579538,nm10579544,nm10579545",2000000,1152411,1152411,tt10095498
Stranded,"Drama,Romance",nm3533819,"nm6522724,nm9224116",1900000,0,285593,tt10097816
Miracle,Thriller,nm10585937,nm4404570,28000000,64378093,64474705,tt10109982
Believe,Documentary,nm10590426,Missing writer data,3500000,890303,890303,tt10118052
Kingdom Come,Documentary,nm10591226,nm2140080,7000000,23247539,23393939,tt10121212
Knight and Day,"Action,Adventure,Comedy",nm0003506,nm0642277,117000000,76423035,258751370,tt1013743
Dylan Dog: Dead of Night,"Action,Comedy,Crime",nm1083489,"nm0232776,nm0649191,nm0778554",20000000,1186538,6093725,tt1013860
Alice in Wonderland,"Adventure,Family,Fantasy",nm0000318,"nm0941314,nm0140902",200000000,334191110,1025491110,tt1014759
Alice in Wonderland,"Adventure,Family,Fantasy",nm0000318,"nm0941314,nm0140902",3000000,0,0,tt1014759
Child 44,"Crime,Drama,History",nm1174251,"nm0697115,nm1602547,nm1195553",50000000,1224330,8004221,tt1014763
Cobra,Drama,"nm10493873,nm0890060",Missing writer data,25000000,49042224,49042224,tt10152772
The Sisterhood of Night,"Drama,Mystery,Thriller",nm2013046,"nm2627176,nm1841035",1000000,6870,6870,tt1015471
Cinderella,"Comedy,Fantasy",nm0134224,"nm0134224,nm0179479",95000000,201151353,534551353,tt10155932
Cinderella,"Comedy,Fantasy",nm0134224,"nm0134224,nm0179479",2900000,85000000,263591415,tt10155932
The Runaways,"Biography,Drama,Music",nm0797455,"nm0797455,nm0192947",9500000,3573673,5278632,tt1017451
Empire,Genre Data Missing,nm9032591,nm9032591,3500000,17504595,18495444,tt10188180
Adam,Drama,nm5685112,nm5685112,3200000,2283291,2834485,tt10199664
Selma,"Biography,Drama,History",nm1148550,nm2298096,20000000,52076908,66776576,tt1020072
Centurion,"Action,Adventure,Drama",nm0551076,nm0551076,15000000,123570,7885048,tt1020558
My Fair Lady,Musical,nm5245076,nm10633876,17000000,72000000,72071636,tt10214520
Dark Blue,Drama,nm0684883,nm0684883,15000000,9237470,12262065,tt10214900
The Wild,Documentary,nm1951667,"nm1503477,nm1951667",80000000,37384046,99010667,tt10227282
Brick,"Drama,Family,Romance",nm10639685,nm10639685,450000,2075743,4243996,tt10227710
Argo,"Biography,Drama,Thriller",nm0000255,"nm0006516,nm5410196,nm2646452",44500000,136025503,227140757,tt1024648
Underdogs,"Documentary,Sport",nm10650712,nm10650712,2500000,35017,1392649,tt10249374
Sunday,Drama,nm0698757,nm2014974,450000,410919,450349,tt10256894
Dream House,"Comedy,Drama,Romance",nm0069860,"nm10658849,nm10205448",50000000,21302340,41642166,tt10265116
Jack,"Comedy,Drama",nm10659431,"nm10659431,nm10659441",45000000,58617334,58617334,tt10265934
Secretariat,"Biography,Drama,Family",nm0908824,"nm0723692,nm0618720",35000000,59699513,60376247,tt1028576
Adam,Drama,nm10673283,nm10673283,3200000,2283291,2834485,tt10291640
Poltergeist,"Horror,Thriller",nm1481493,"nm1865755,nm0000229,nm0334457,nm0896131",35000000,47425125,95713069,tt1029360
Poltergeist,"Horror,Thriller",nm1481493,"nm1865755,nm0000229,nm0334457,nm0896131",10700000,74706019,121706019,tt1029360
Swingers,Comedy,Missing director data,"nm2552337,nm9224512",200000,4505922,6618578,tt10297320
Kidnap,Drama,nm4110102,nm3370087,21000000,30718107,34836080,tt10300662
Walter,Thriller,nm10678795,nm4157919,700000,0,0,tt10300704
Hit & Run,"Action,Comedy",nm2678073,"nm1345541,nm10678815",22000000,13749300,17216955,tt10300710
Lovesick,"Comedy,Drama",nm1313819,"nm1313819,nm7120671",10100000,10143618,10143618,tt10308134
Father's Day,Action,nm0004250,"nm0004250,nm1880240,nm0005568",85000000,28681080,35681080,tt10313204
The Warrior's Way,"Action,Fantasy,Western",nm2788363,"nm2788363,nm0721944",42000000,5666340,8514325,tt1032751
The Hunted,Action,Missing director data,nm0161595,55000000,34234008,47213095,tt10328498
Rogue City,Genre Data Missing,nm0545356,Missing writer data,13000000,0,0,tt10329540
Geroy,Action,nm2420471,nm2965766,7000000,0,1545121,tt10329842
Much Ado About Nothing,Drama,nm2539778,"nm2539778,nm0000636",8000000,22549338,22549338,tt10332120
Nothing,Sci-Fi,nm0794779,nm0794779,4000000,0,63180,tt10332174
Smoke Signals,Documentary,nm1133168,nm1133168,2000000,6719300,7756617,tt10332328
The Descendants,"Comedy,Drama",nm0668247,"nm0668247,nm0269542,nm0711110,nm2655611",20000000,82624961,175507800,tt1033575
The One,Horror,nm7235199,nm7235199,49000000,43905746,72689126,tt10339624
Midnight in Paris,"Comedy,Documentary,Drama","nm3718339,nm10697434",Missing writer data,30000000,56816662,162502774,tt10340148
Next,Horror,nm10699377,nm10699377,70000000,18211013,73591500,tt10343876
The Eagle,"Action,Adventure,Drama",nm0531817,"nm0110591,nm0839996",25000000,19490041,38993548,tt1034389
Suspiria,"Fantasy,Horror,Mystery",nm0345174,"nm0000783,nm0630453,nm1738734",20000000,2483472,7034615,tt1034415
Trash,Thriller,nm10702590,nm10702590,12000000,17484,6553186,tt10351040
Wanderlust,Fantasy,nm5273536,nm5273536,32500000,17288155,24159934,tt10375030
The Book of Eli,"Action,Adventure,Drama","nm0400436,nm0400441",nm1729428,80000000,94835059,158750817,tt1037705
Supernova,Drama,"nm6584532,nm2718708,nm5600459,nm7269414,nm3771873,nm5678133","nm7269414,nm3771873,nm2718708,nm6584532,nm5678133,nm6880883",60000000,14218868,14816494,tt10378772
Jackpot,Genre Data Missing,nm9538737,Missing writer data,400000,44452,44452,tt10381126
Legion,"Action,Fantasy,Horror",nm0829820,"nm0076412,nm0829820",26000000,40168080,67647574,tt1038686
Hero,Action,nm8263638,nm8263638,42000000,19487173,66787173,tt10388520
The Bounty Hunter,"Action,Comedy,Romance",nm0855035,nm0861638,45000000,67061228,135808837,tt1038919
Lost and Found,Thriller,nm3279528,nm0783119,14000000,6552255,6552255,tt10392240
Madison,"Adventure,Drama,Family",nm1690697,"nm0233315,nm1690697",15500000,517262,517262,tt10397306
Unbroken,Drama,nm10725766,Missing writer data,65000000,115637895,163527824,tt10402572
Steel,Western,Missing director data,"nm0375266,nm10730621",16000000,1686429,1686429,tt10412578
The Nutcracker in 3D,"Action,Family,Fantasy",nm0464846,"nm0464846,nm0813068",90000000,195459,20466016,tt1041804
The Unborn,Horror,nm1823574,nm2853432,16000000,42670410,78208812,tt10423074
Limbo,"Drama,Thriller",nm5229535,Missing writer data,8300000,2160710,2598224,tt10428118
Eden,Drama,nm5231430,nm5231430,2300000,0,0,tt10429158
Rebecca,Horror,nm10738969,Missing writer data,1288000,6000000,6002370,tt10430534
Sunday,Drama,nm0698757,nm2014974,450000,410919,450349,tt10435840
The Legend of Hercules,"Action,Adventure,Fantasy",nm0001317,"nm0393517,nm0316417,nm0001317,nm1048866",70000000,18848538,58953319,tt1043726
No Man's Land,Western,nm3440937,nm5923409,1000000,1067481,2684207,tt10449052
Into the Storm,Documentary,nm10748353,Missing writer data,50000000,47602194,150429371,tt10449526
Silver Linings Playbook,"Comedy,Drama,Romance",nm0751102,"nm0751102,nm2683048",21000000,132092958,236412453,tt1045658
Bound,"Action,Drama",nm1879093,"nm3848357,nm8746712,nm1879093",4500000,3802260,7011317,tt10457702
Brothers,Documentary,"nm10755860,nm10755861",Missing writer data,26000000,28544157,45043870,tt10465764
