movie,genres,directors,writers,production_budget,domestic_gross,worldwide_gross,tconst
The Woman in Black,"Drama,Fantasy,Horror",nm1220140,"nm0384702,nm0963359",15000000,54333290,128955898,tt1596365
Click,"Drama,Horror,Mystery",nm0803350,"nm1856840,nm3343246,nm4493200",82500000,137355633,237685089,tt1596723
Contagion,"Action,Drama,Thriller",nm0001752,nm1994243,60000000,75658097,137551594,tt1598778
One for the Money,"Action,Comedy,Crime",nm1455688,"nm1995411,nm4558594,nm2470990,nm2208656",42000000,26414527,36197221,tt1598828
Safe House,"Action,Adventure,Crime",nm1174251,nm1638756,85000000,126181630,208542162,tt1599348
Sonny,Drama,nm0755495,Missing writer data,4000000,17639,17639,tt1599354
Abduction,"Action,Mystery,Thriller",nm0005436,nm0159900,35000000,28087155,86648359,tt1600195
The Drop,"Crime,Drama",nm1742427,nm1212331,12600000,10724389,19054534,tt1600196
The Grey,"Action,Adventure,Drama",nm0138620,"nm0138620,nm2259451",25000000,51580136,81249176,tt1601913
Albert Nobbs,"Drama,Romance",nm0006554,"nm0695881,nm0052581,nm0000335,nm0601239,nm0843640",7500000,3014696,8539003,tt1602098
Only God Forgives,"Crime,Drama",nm0716347,nm0716347,4800000,775849,4494560,tt1602613
Amour,"Drama,Romance",nm0359734,nm0359734,9700000,6738954,36787044,tt1602620
A Fine Step,Drama,nm1661709,"nm3791071,nm3794026,nm0317367",1000000,0,0,tt1604100
Prom,"Comedy,Drama,Family",nm0638271,nm2251854,8000000,10130219,10763183,tt1604171
American Reunion,Comedy,"nm1375358,nm1376383","nm1375358,nm1376383,nm0381221",50000000,56758835,236799211,tt1605630
The Visit,"Comedy,Drama,Romance",nm3814586,nm3814586,5000000,65206105,98677816,tt1605776
Midnight in Paris,"Comedy,Fantasy,Romance",nm0000095,nm0000095,30000000,56816662,162502774,tt1605783
A Good Day to Die Hard,"Action,Thriller",nm0601382,"nm0940790,nm0861636",92000000,67349198,304249198,tt1606378
The Vow,"Drama,Romance",nm1302591,"nm0463359,nm0799050,nm0441300,nm1213974",30000000,125014030,197618160,tt1606389
Iris,"Drama,Family,History",nm0071070,"nm0256764,nm0906311",5500000,5580479,5580479,tt1606618
The Other Dream Team,"Documentary,Sport",nm2101256,"nm2101256,nm2011715",500000,134109,314444,tt1606829
Zoolander 2,Comedy,nm0001774,"nm0857620,nm0001774,nm0831557,nm0357453,nm0766153",50000000,28848693,55348693,tt1608290
Three Kings,"Biography,Documentary,Sport",nm3828155,Missing writer data,48000000,60652036,107752036,tt1609986
Absentia,"Drama,Horror,Mystery",nm1093039,nm1093039,70000,0,8555,tt1610996
Abraham Lincoln: Vampire Hunter,"Action,Fantasy,Horror",nm0067457,nm0334381,67500000,37519139,137489730,tt1611224
Frozen,"Fantasy,Romance",nm0477213,"nm0477213,nm3827960",150000000,400738009,1272469910,tt1611845
Re-Kill,"Action,Horror",nm2274197,nm0403629,9500000,0,0,tt1612319
Rubber,"Comedy,Fantasy,Horror",nm1189197,nm1189197,500000,100370,680914,tt1612774
Hodejegerne,"Action,Crime,Thriller",nm0878763,"nm0752968,nm0345674,nm1867674",5250000,1200010,20188740,tt1614989
Savages,"Crime,Drama,Thriller",nm0000231,"nm0004307,nm0972454,nm0000231",45000000,47323100,82513490,tt1615065
Margin Call,"Drama,Thriller",nm1170855,nm1170855,3400000,5353586,20433227,tt1615147
The Foreigner,"Action,Thriller",nm0132709,"nm0545861,nm0495319",35000000,34393507,140783360,tt1615160
Alvin and the Chipmunks: Chipwrecked,"Adventure,Animation,Comedy",nm0593610,"nm0008743,nm0074184,nm0046564,nm0439739",80000000,133107389,349088523,tt1615918
J. Edgar,"Biography,Crime,Drama",nm0000142,nm0085257,35000000,37306030,84606030,tt1616195
One Day,"Drama,Romance,Sci-Fi",nm2254001,"nm2254001,nm2073554",15000000,13843771,59168692,tt1616203
Monster,"Action,Adventure,Comedy","nm3427857,nm0397712",Missing writer data,5000000,34469210,64240813,tt1617136
Jupiter Ascending,"Action,Adventure,Sci-Fi","nm0905152,nm0905154","nm0905152,nm0905154",179000000,47482519,181982519,tt1617661
Dum Maaro Dum,"Action,Crime,Drama",nm1391682,"nm1743389,nm1709471,nm1356270",5200000,564489,11633427,tt1618430
The Last Witch Hunter,"Action,Adventure,Fantasy",nm0252135,"nm2309430,nm1948885,nm2332952",80000000,27367660,130818912,tt1618442
Jackie,"Biography,Drama,History",nm1883257,nm3834300,9000000,13960394,36588512,tt1619029
Konferenz der Tiere,"Adventure,Animation,Comedy","nm0459996,nm1637852","nm4380835,nm1075038,nm0459996,nm0477696,nm6296425",30000000,0,53048539,tt1620449
A Wrinkle in Time,"Adventure,Family,Fantasy",nm1148550,"nm1601644,nm0830969,nm0478291",103000000,100478608,133401882,tt1620680
Bleed for This,"Biography,Drama,Sport",nm0950226,"nm0950226,nm4549849,nm0686233",16000000,5083906,6603926,tt1620935
The Addams Family,"Animation,Comedy,Family","nm0970447,nm0862911","nm1073238,nm0011623,nm0972040",30000000,113502246,191502246,tt1620981
Free Birds,"Adventure,Animation,Comedy",nm0371755,"nm0608714,nm0371755,nm0827670,nm0833828,nm3439751",55000000,55750480,110387072,tt1621039
Think Like a Man,"Comedy,Romance",nm1103162,"nm2226647,nm2226970,nm0367724",12000000,91547205,113373764,tt1621045
30 Minutes or Less,"Action,Comedy,Crime",nm0281508,"nm2225652,nm3574030",28000000,37053924,40966716,tt1622547
Final Destination 5,Horror,nm0702797,"nm2104063,nm0714695",40000000,42587643,155011165,tt1622979
Infected,"Action,Horror,Sci-Fi",nm0161870,"nm0161870,nm1234152",2100000,0,0,tt1622991
Oz the Great and Powerful,"Adventure,Family,Fantasy",nm0000600,"nm0438449,nm1865755,nm0000875",200000000,234770996,490359051,tt1623205
ParaNorman,"Adventure,Animation,Comedy","nm2752098,nm0271402",nm2752098,60000000,56003051,108119662,tt1623288
Stitches,Horror,"nm2411221,nm2103947","nm3851631,nm2411221,nm2103947,nm2809498,nm2161672",2000000,0,63555,tt1623771
Young Adult,"Comedy,Drama",nm0718646,nm1959505,12000000,16311571,22750356,tt1625346
The Journey,Family,nm0523373,Missing writer data,500000,19800,19800,tt1627937
Independence Day: Resurgence,"Action,Adventure,Sci-Fi",nm0000386,"nm1288961,nm1123994,nm0002041,nm0000386,nm0888743,nm1125328",165000000,103144286,384169424,tt1628841
Blackthorn,"Action,Adventure,Western",nm0317834,nm0057774,4500000,200558,1217307,tt1629705
Chasing Mavericks,"Biography,Drama,Sport","nm0000776,nm0000436","nm0758002,nm2249435,nm0393714",20000000,6002756,8300821,tt1629757
Courageous,Drama,nm1731937,"nm1731937,nm1726854",2000000,34522221,35185884,tt1630036
Enter Nowhere,"Mystery,Sci-Fi,Thriller",nm2597331,"nm0159900,nm1227375",500000,0,0,tt1631707
Edge of Tomorrow,"Action,Sci-Fi",nm0510731,"nm0003160,nm0125336,nm3890871,nm3872326",178000000,100206256,370541256,tt1631867
Creed,Horror,"nm1156988,nm0565955",nm1156988,37000000,109767581,173567581,tt1632705
Friends with Benefits,"Comedy,Romance",nm0323239,"nm2226647,nm2226970,nm0323239,nm0679037",35000000,55802754,146595891,tt1632708
Shark Night 3D,"Horror,Thriller",nm0254786,"nm1974551,nm3864204",25000000,18877153,18877153,tt1633356
Dragonslayer,Documentary,nm1327830,Missing writer data,18000000,6000000,6000000,tt1633989
Metegol,"Adventure,Animation,Family",nm0002728,"nm3160078,nm3039720,nm0002728,nm1098024,nm1085381,nm1558913",22000000,0,34061097,tt1634003
Underdogs,"Adventure,Animation,Family",nm0002728,"nm3160078,nm3039720,nm0002728,nm1098024,nm1085381,nm1558913",2500000,35017,1392649,tt1634003
Johnny English Reborn,"Action,Adventure,Comedy",nm0662529,"nm0566100,nm0204030,nm0701031,nm0905498",45000000,8406711,164640401,tt1634122
The Intern,Genre Data Missing,nm2255053,nm2255053,40000000,75764672,197115710,tt1636456
Project X,Comedy,nm1294036,"nm0236966,nm0045209",12000000,54731865,103028188,tt1636826
Black and White,Drama,nm1271353,nm1271353,10000000,5241315,5241315,tt1636833
In Time,"Action,Crime,Drama",nm0629272,nm0629272,35000000,37553932,165103952,tt1637688
Our Idiot Brother,"Comedy,Drama",nm0673400,"nm0673400,nm3077617,nm0772005",5000000,24814830,25861249,tt1637706
Ted,"Comedy,Fantasy",nm0532235,"nm0532235,nm1273148,nm1273397",50000000,218665740,556016627,tt1637725
Once Upon a Time in Queens,"Comedy,Drama",nm0735276,nm0735276,1500000,0,0,tt1639397
Hobo with a Shotgun,"Action,Comedy,Horror",nm2639032,nm3851113,3000000,703372,834953,tt1640459
Jumping the Broom,"Comedy,Drama",nm0015328,"nm0402804,nm1656428",7000000,37295394,38158601,tt1640484
Inside Out,"Crime,Drama",nm0541703,nm4046433,175000000,356461711,854235992,tt1640486
A Few Best Men,"Comedy,Romance",nm0254632,nm1918877,15000000,0,17224539,tt1640711
The Christmas Bunny,"Drama,Family",nm0782457,nm0782457,250000,0,0,tt1640714
Below Zero,Thriller,nm2411837,nm2319648,1200000,0,0,tt1641388
Skin Trade,"Action,Crime,Thriller",nm0879960,"nm0000185,nm0253097,nm1907744,nm0404882",9000000,1242,1242,tt1641841
All or Nothing,"Action,Thriller,War",nm3893489,nm3893489,9000000,184255,184255,tt1641918
The Gift,"Animation,Drama",nm2754274,nm2754274,10000000,12008642,44567606,tt1644694
The Gift,"Animation,Drama",nm2754274,nm2754274,5000000,43787265,58978477,tt1644694
The Art of Getting By,"Drama,Romance",nm1026883,nm1026883,4000000,1430241,1989035,tt1645080
Inside Job,"Crime,Documentary",nm2480587,"nm2480587,nm1556822,nm2903269",2000000,4311834,7799257,tt1645089
The Dictator,Comedy,nm0153078,"nm0056187,nm0073688,nm0541635,nm0769840",65000000,59650222,180148897,tt1645170
Lights Out,"Drama,Mystery,Thriller",nm1257259,nm1257259,5000000,67268835,148806510,tt1646127
How to Train Your Dragon 2,"Action,Adventure,Animation",nm0213450,"nm0213450,nm2441763",145000000,177002924,614586270,tt1646971
Le nom des gens,"Comedy,Drama,Romance",nm1098171,"nm1928581,nm1098171",4600000,514237,9261711,tt1646974
Wrath of the Titans,"Action,Adventure,Fantasy",nm0509448,"nm2669197,nm0424901,nm0075528,nm0189117",150000000,83670083,305270083,tt1646987
Million Dollar Arm,"Biography,Drama,Sport",nm0318916,nm0565336,25000000,36447959,39217912,tt1647668
Wolf,"Action,Crime,Drama",nm1029033,Missing writer data,70000000,65011757,131011757,tt1648168
Here Comes the Boom,"Action,Comedy,Sport",nm0178997,"nm1615610,nm0416673,nm0720609",42000000,45290318,73239258,tt1648179
The Dark Tower,"Action,Adventure,Fantasy",nm1064048,"nm0326040,nm0684374,nm0421314,nm1064048,nm0000175",60000000,50701325,113461527,tt1648190
